#SampleID	ERR4702550	ERR4702560	ERR4702551	ERR4702561	ERR4702552	ERR4702562	ERR4702553	ERR4702563	ERR4702554	ERR4702564	ERR4702555	ERR4702556	ERR4702557	ERR4702558	ERR4702559	ERZ1758440	ERZ1758441	ERZ1758442	ERZ1758444	ERZ1758445	ERZ1758437	ERZ1758447	ERZ1758438	ERZ1758448	ERZ1758439	ERZ1758449
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria	697	229	772	4884	106285	3043	139791	118	990	231	921	74319	181	122	184	44	11	10	186	223	160	235	42	223	11	121
sk__Bacteria;k__;p__;c__;o__Haloplasmatales	1	0	0	0	2	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales	3	1	1	6	143	2	254	0	1	0	1	202	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae	0	0	0	5	70	1	125	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
